extension,UTI,preferred_extension
cpio,public.cpio-archive,cpio
csyn,com.econtechnologies.chronosync.document.container,csyn
ctrl,org.khronos.glsl.tess-control-shader,ctrl
ddoc,com.dekorra.macdrawpro,ddoc
ddrw,com.dekorra.clarisdraw,ddrw
defs,public.mig-source,defs
diff,public.patch-file,patch
divx,org.videolan.divx,divx
docm,org.openxmlformats.wordprocessingml.document.macroenabled,docm
docx,org.openxmlformats.wordprocessingml.document,docx
dotm,org.openxmlformats.wordprocessingml.template.macroenabled,dotm
dotx,org.openxmlformats.wordprocessingml.template,dotx
dpst,com.apple.logic.dpst,dpst
draw,com.dekorra.macdrawii,draw
duck,ch.sudo.cyberduck.bookmark,duck
dvdr,com.apple.disk-image-cdr,dvdr
eac3,public.enhanced-ac3-audio,eac3
emlx,com.apple.mail.emlx,emlx
enex,com.evernote.enex,enex
epub,org.idpf.epub-container,epub
eval,org.khronos.glsl.tess-evaluation-shader,eval
fh10,com.seriflabs.affinity,fh10
fh11,com.seriflabs.affinity,fh10
flac,org.xiph.flac,flac
frag,org.khronos.glsl.fragment-shader,fs
game,com.apple.chess.game,game
gdoc,com.google.gdoc,gdoc
geom,org.khronos.glsl.geometry-shader,gs
glsl,org.khronos.glsl-source,glsl
gtar,org.gnu.gnu-tar-archive,gtar
gzip,org.gnu.gnu-zip-archive,gz
hang,com.apple.hangreport,hang
heic,public.heic,heic
heif,public.heif,heif
hlsl,com.microsoft.hlsl,hlsl
html,public.html,html
icbu,com.apple.ical.backup-package,icbu
icns,com.apple.icns,icns
ilib,com.dekorra.clarisdrawlib,ilib
ipsw,com.apple.itunes.ipsw,ipsw
itlp,com.apple.music.itlp,itlp
itms,com.apple.itunes.store-url,itms
itpc,com.apple.itunes.podcast,pcast
java,com.sun.java-source,java
jnlp,com.sun.java-web-start,jnlp
jpeg,public.jpeg,jpeg
json,public.json,json
jump,com.p5sys.jump.file.jump,jump
kpdc,com.apple.iwork.keynote.kpdc,kpdc
latm,public.mp4a-loas,loas
loas,public.mp4a-loas,loas
make,public.make-source,make
mbox,com.c-command.mbox,mbox
mhtm,com.microsoft.word.mhtml,mht
midi,public.midi-audio,midi
minc,ca.mcgill.mni.bic.mnc,mnc
mpeg,public.mpeg,mpg
mpga,public.mp3,mp3
mpg4,public.mpeg-4,mp4
mpkg,com.apple.installer-package-archive,pkg
mtlx,org.materialx.mtlx,mtlx
mt2s,org.videolan.mpeg-stream,m2p
m2ts,public.avchd-mpeg-2-transport-stream,mts
m3u8,public.m3u-playlist,m3u
nasm,public.nasm-assembly-source,nasm
nsis,org.7-zip.nsis-archive,nsis
opml,org.opml.opml,opml
opus,org.xiph.opus,opus
php3,public.php-script,php
php4,public.php-script,php
pict,com.apple.pict,pict
pntg,com.apple.macpaint-image,pntg
potm,org.openxmlformats.presentationml.template.macroenabled,potm
potx,org.openxmlformats.presentationml.template,potx
ppam,com.microsoft.powerpoint.ppam,ppam
ppsm,org.openxmlformats.presentationml.slideshow.macroenabled,ppsm
ppsx,org.openxmlformats.presentationml.slideshow,ppsx
pptm,org.openxmlformats.presentationml.presentation.macroenabled,pptm
pptx,org.openxmlformats.presentationml.presentation,pptx
pset,com.apple.pdf-printer-settings,pset
qtif,com.apple.quicktime-image,qtif
rmvb,com.real.realmedia-vbr,rmvb
scnp,com.apple.scenekit.particlesystem,scnp
scnz,com.apple.scenekit.scene,scn
scpt,com.apple.applescript.script,scpt
sdef,com.apple.scripting-definition,sdef
sdir,com.apple.logic.impulseresponse,sdir
shtm,public.html,html
sidx,com.stuffit.archive.sidx,sidx
sitx,com.stuffit.archive.sitx,sitx
skim,net.sourceforge.skim-app.skimnotes,skim
spin,com.apple.spinreport,spin
strk,org.videolan.mod,mod
suit,com.apple.font-suitcase,suit
svgz,public.svg-image,svg
