extension,UTI,preferred_extension
stw,org.openoffice.text-template,stw
svg,public.svg-image,svg
sxc,org.openoffice.spreadsheet,sxc
sxd,org.openoffice.graphics,sxd
sxg,org.openoffice.text-master,sxg
sxi,org.openoffice.presentation,sxi
sxm,org.openoffice.formula,sxm
sxw,org.openoffice.text,sxw
s3m,org.videolan.s3m,s3m
tar,public.tar-archive,tar
tbd,com.apple.text-based-dylib,tbd
tbx,com.eastgate.tinderbox,tbx
tbz,public.tar-bzip2-archive,tbz2
tb2,org.bzip.bzip2-archive,bz2
tga,com.truevision.tga-image,tga
tgz,org.gnu.gnu-zip-tar-archive,tgz
tif,public.tiff,tiff
tod,org.videolan.tod,tod
tsv,public.tab-separated-values-text,tsv
tsx,com.microsoft.typescript,ts
tta,org.videolan.tta,tta
ttc,public.truetype-collection-font,ttc
ttf,public.truetype-ttf-font,ttf
txt,public.plain-text,txt
